docid,title,text,tokencount,category,lineid
46,Data dredging," datum dredging ( also datum fishing , datum snooping , datum butchery , and p - hacking ) be the misuse of datum analysis to find pattern in datum that can be present as statistically significant when in fact there be no real underlying effect . this be do by perform many statistical test on the datum and only pay attention to those that come back with significant result , instead of state a single hypothesis about an underlying effect before the analysis and then conduct a single test for it . ",92,Data mining,0
46,Data dredging," the process of datum dredging involve automatically test huge number of hypothesis about a single datum set by exhaustively search — perhaps for combination of variable that may show a correlation , and perhaps for group of case or observation that show difference in their mean or in their breakdown by some other variable . ",55,Data mining,1
46,Data dredging," conventional test of statistical significance be base on the probability that a particular result would arise if chance alone be at work , and necessarily accept some risk of mistaken conclusion of a certain type ( mistaken rejection of the null hypothesis ) .   this level of risk be call the significance . when large number of test be perform , some produce false result of this type , hence 5 % of randomly choose hypothesis turn out to be significant at the 5 % level , 1 % turn out to be significant at the 1 % significance level , and so on , by chance alone . when enough hypothesis be test , it be virtually certain that some will be statistically significant but misleading , since almost every datum set with any degree of randomness be likely to contain ( for example ) some spurious correlation . if they be not cautious , researcher use datum mining technique can be easily mislead by these result . ",170,Data mining,2
46,Data dredging," the multiple comparison hazard be common in datum dredging . moreover , subgroup be sometimes explore without alert the reader to the number of question at issue , which can lead to misinform conclusion . 
 ",36,Data mining,3
47,Document classification," document classification or document categorization be a problem in library science , information science and computer science . the task be to assign a document to one or more class or category . this may be do "" manually "" ( or "" intellectually "" ) or algorithmically . the intellectual classification of document have mostly be the province of library science , while the algorithmic classification of document be mainly in information science and computer science . the problem be overlap , however , and there be therefore interdisciplinary research on document classification . 
 the document to be classify may be text , image , music , etc . each kind of document possess its special classification problem . when not otherwise specify , text classification be imply . ",131,Data mining,0
47,Document classification," document may be classify accord to their subject or accord to other attribute ( such as document type , author , print year etc . ) . in the rest of this article only subject classification be consider . there be two main philosophy of subject classification of document : the content - base approach and the request - base approach . ",62,Data mining,1
48,Backpropagation," backpropagation algorithm be a family of method use to efficiently train artificial neural network ( anns ) follow a gradient descent approach that exploit the chain rule . the main feature of backpropagation be its iterative , recursive and efficient method for calculate the weight update to improve the network until it be able to perform the task for which it be be train . goodfellow , ian ; bengio , yoshua ; courville , aaaron ( 2016 ) deep learning . mit press . p. 196 .   It be closely related to the gauss – newton algorithm .   ",101,Machine learning algorithms,0
48,Backpropagation," backpropagation require the derivative of activation function to be know at network design time . automatic differentiation be a technique that can automatically and analytically provide the derivative to the training algorithm .   in the context of learning , backpropagation be commonly use by the gradient descent optimization algorithm to adjust the weight of neuron by calculate the gradient of the loss function ; backpropagation compute the gradient(s ) , whereas ( stochastic ) gradient descent use the gradient for train the model ( via optimization ) . ",89,Machine learning algorithms,1
49,OPeNDAP," opendap be an acronym for "" open - source project for a network data access protocol , "" an endeavor focus on enhance the retrieval of remote , structured datum through a web - base architecture and a discipline - neutral data access protocol ( dap ) . widely use , especially in earth science , the protocol be layer on http , and its current specification be dap4,dap4 specification though the previous dap2 version remain broadly use . develop and advanced ( openly and collaboratively ) by the non - profit   opendap , inc.,official website dap be intend to enable remote , selective datum - retrieval as an easily invoke web service . opendap , inc. also develop and maintain zero - cost ( reference ) implementation of the dap protocol in both server - side and client - side software . 
 "" opendap "" often be use in place of "" dap "" to denote the protocol but also may refer to an entire dap - base data - retrieval architecture . other dap - center architecture , such as threddsthredds and erddap , the noaa geo - ide uaf erddaperddap exhibit significant interoperability with one another as well as with system employ opendap 's own ( open - source ) server and software . ",219,Data analysis,0
49,OPeNDAP," a dap client can be an ordinary browser or even a spreadsheet , though with limited functionality ( see opendap 's web page on available client software ) . more typically , dap client be : 
  data - analysis or data - visualization tool ( such as matlab , idl , panoply , grads , integrated data viewer , ferret and ncbrowsea graphical netcdf file browser ) which their author have adapt to enable dap - base data input ; 
  similarly adapt web application ( such as dapper data viewer , aka dchart)opendap software 
  similarly adapt end - user program ( in common language ) ",108,Data analysis,1
49,OPeNDAP," regardless of their type , and whether develop commercially or by an end - user , client almost universally link to dap server through library that implement the dap2 or dap4 protocol in one language or another . opendap offer open - source library in c++ and java , but many client rely on community develop library such as pydap or , especially , the netcdf suite . develop and maintain by the unidata program at the ucar in multiple programming language , all netcdf library include embed capability for retrieve ( array - style ) datum from dap server . ",101,Data analysis,2
49,OPeNDAP," a data - use client reference a data set by its url and request metadata or content by issue ( usually through an embed dap library ) an http request to a dap server . content request usually be precede by request for metadata describe the structure and other detail about the reference data set . with this information , the client may construct dap constraint expressionsdap constraint expression to retrieve specific content ( i.e. , subset ) from the source . opendap server offer various type of response , depend on the specific form of the client 's request , include xml , json , html and ascii . in response to request for content , opendap server can respond with multi - part mime document that include a binary portion with netcdf or dap - native encoding . ( these binary form offer compact mean to deliver large volume of content , and the dap - native form may even be stream if desire . ) ",168,Data analysis,3
49,OPeNDAP," opendap 's software for build dap server ( on top of apache ) be dub hyrax and include adapter that facilitate serve a wide variety of source datum . dap server most frequently enable ( remote ) access to ( large ) hdf or netcdf file , but the source datum can exist in database or other format , include user - define one . when source datum be organize as file , dap retrieval enable , via subsetting , finer - grain access than do the ftp . furthermore , opendap server can aggregate subset from multiple file for delivery in a single retrieval . take together , subsetting , aggregation and streaming can yield substantial datum - access efficiency , even in the presence of slow network . ",130,Data analysis,4
49,OPeNDAP," opendap and other dap server be use operationally in government agency , include nasa and noaa , for provide access to earth science datum , include satellite imagery and other high - volume information source . the dap data model embrace a comprehensive set of datum structure , include multidimensional array and nest sequence ( i.e. , record ) , complement by a correspondingly rich set of constraint expression . hence the opendap data - retrieval architecture have demonstrate utility across a broad range of scientific datum type , include datum generate via simulation and datum generate via observation ( whether remotely sense or measure in situ ) . ",109,Data analysis,5
50,Bernhard Schölkopf," bernhard schölkopf ( bear february 20 , 1968 ) be a director at the max planck institute for intelligent systems in tübingen , germany , where he head the department of empirical inference . ",34,Machine learning researchers,0
50,Bernhard Schölkopf," He be a leading researcher in the machine learn community , where he be particularly active in the field of kernel method . He have make particular contribution to support vector machine and kernel pca . a large part of his work be the development of novel machine learn algorithm through their formulation as ( typically convex ) optimisation problem . ",61,Machine learning researchers,1
51,Michael I. Jordan," michael irwin jordan be an american scientist , professor at the university of california , berkeley and researcher in machine learning , statistic , and artificial intelligence . david m. blei , andrew y. ng , michael i. jordan . latent dirichlet allocation . the journal of machine learning research , volume 3 , 3/1/2003michael i. jordan , ed . learn in graphical models . proceeding of the nato advanced study institute , ettore maiorana centre , erice , italy , september 27-october 7 , 1996 He be one of the lead figure in machine learning , and in 2016 science report him as the world 's most influential computer scientist . ",112,Machine learning researchers,0
52,"Training, validation, and test sets"," in machine learning , a common task be the study and construction of algorithm that can learn from and make prediction on datum . such algorithms work by make data - drive prediction or decision , machine learning and pattern recognition "" can be view as two facet of the same field . "" through build a mathematical model from input datum . ",63,Machine learning,0
52,"Training, validation, and test sets"," the datum use to build the final model usually come from multiple dataset . in particular , three datum set be commonly use in different stage of the creation of the model . ",33,Machine learning,1
52,"Training, validation, and test sets"," the model be initially fit on a training dataset , that be a set of example use to fit the parameter ( e.g. weight of connection between neuron in artificial neural network ) of the model . the model ( e.g. a neural net or a naive baye classifier ) be train on the training dataset use a supervised learning method ( e.g. gradient descent or stochastic gradient descent ) . in practice , the training dataset often consist of pair of an input vector ( or scalar ) and the correspond output vector ( or scalar ) , which be commonly denote as the target ( or label ) . the current model be run with the training dataset and produce a result , which be then compare with the target , for each input vector in the training dataset . base on the result of the comparison and the specific learning algorithm be use , the parameter of the model be adjust . the model fitting can include both variable selection and parameter estimation . ",177,Machine learning,2
52,"Training, validation, and test sets"," successively , the fit model be use to predict the response for the observation in a second dataset call the validation dataset . the validation dataset provide an unbiased evaluation of a model fit on the training dataset while tune the model 's hyperparameter   ( e.g. the number of hide unit in a neural network ) . validation dataset can be use for regularization by early stopping : stop training when the error on the validation dataset increase , as this be a sign of overfitt to the training dataset . 
 this simple procedure be complicate in practice by the fact that the validation dataset 's error may fluctuate during training , produce multiple local minima . this complication have lead to the creation of many ad - hoc rule for decide when overfitt have truly begin . ",140,Machine learning,3
52,"Training, validation, and test sets"," finally , the test dataset be a dataset use to provide an unbiased evaluation of a final model fit on the training dataset . if the datum in the test dataset have never be use in training ( for example in cross - validation ) , the test dataset be also call a holdout dataset . ",56,Machine learning,4
53,Selmer Bringsjord," prof . selmer bringsjord ( bear november 24 , 1958 ) be the chair of the department of cognitive science at rensselaer polytechnic institute and a professor of computer science and cognitive science . He also hold an appointment in the lally school of management & technology and teach artificial intelligence ( ai ) , formal logic , human and machine reasoning , and philosophy of ai . 
 bringsjord 's education include a b.a. in philosophy from the university of pennsylvania and a ph.d. in philosophy from brown university . He conduct research in ai as the director of the rensselaer ai & reasoning laboratory ( rair ) . He specialize in the logico - mathematical and philosophical foundation of ai and cognitive science , and in collaboratively building ai system on the basis of computational logic . ",139,Machine learning researchers,0
53,Selmer Bringsjord," bringsjord believe that "" the human mind will forever be superior to ai "" , and that "" much of what many human do for a living will be better do by indefatigable machine who require not a cent in pay "" . bringsjord have state that the "" ultimate growth industry will be build smarter and smart such machine on the one hand , and philosophize about whether they be truly conscious and free on the other "" . ",80,Machine learning researchers,1
53,Selmer Bringsjord," bringsjord have an argument for p = np use digital physics . other research include develop a new computational - logic framework allow the formalization of deliberative multi - agent "" mindread "" as apply to the realm of nuclear strategy , with the goal of create a model and simulation to enable reliable prediction . He have publish an opinion piece advocate for counter - terrorism security ensure by pervasive , all - see sensor ; automate reasoner ; and autonomous , lethal robot . ",86,Machine learning researchers,2
53,Selmer Bringsjord," prof . selmer bringsjord receive a national science foundation award to research social robotics and the covey award for the advancement of philosophy of computing award by the international association for computing and philosophy , among several other prize . ",40,Machine learning researchers,3
54,Statistical classification," in machine learning and statistic , classification be the problem of identify to which of a set of category ( sub - population ) a new observation belong , on the basis of a training set of datum contain observation ( or instance ) whose category membership be know .   examples be assign a give email to the "" spam "" or "" non - spam "" class , and assign a diagnosis to a give patient base on observed characteristic of the patient ( sex , blood pressure , presence or absence of certain symptom , etc . ) .   classification be an example of pattern recognition . ",111,Machine learning,0
54,Statistical classification," in the terminology of machine learning , classification be consider an instance of supervised learning , i.e. , learn where a training set of correctly identify observation be available .   the correspond unsupervised procedure be know as cluster , and involve group datum into category base on some measure of inherent similarity or distance . ",56,Machine learning,1
54,Statistical classification," often , the individual observation be analyze into a set of quantifiable property , know variously as explanatory variable or feature .   these property may variously be categorical ( e.g. "" a "" , "" b "" , "" ab "" or "" o "" , for blood type ) , ordinal ( e.g. "" large "" , "" medium "" or "" small "" ) , integer - value ( e.g. the number of occurrence of a particular word in an email ) or real - value ( e.g. a measurement of blood pressure ) . other classifier work by compare observation to previous observation by mean of a similarity or distance function . ",116,Machine learning,2
54,Statistical classification," an algorithm that implement classification , especially in a concrete implementation , be know as a classifier .   the term "" classifi "" sometimes also refer to the mathematical function , implement by a classification algorithm , that map input datum to a category . ",46,Machine learning,3
54,Statistical classification," terminology across field be quite varied . in statistic , where classification be often do with logistic regression or a similar procedure , the property of observation be term explanatory variable ( or independent variable , regressor , etc . ) , and the category to be predict be know as outcome , which be consider to be possible value of the dependent variable .   in machine learning , the observation be often know as instance , the explanatory variable be term feature ( group into a feature vector ) , and the possible category to be predict be class .   other field may use different terminology : e.g. in community ecology , the term "" classification "" normally refer to cluster analysis , i.e. , a type of unsupervised learning , rather than the supervised learning describe in this article . ",144,Machine learning,4
55,Natural Language Toolkit," the natural language toolkit , or more commonly nltk , be a suite of library and program for symbolic and statistical natural language processing ( nlp ) for english write in the python programming language . It be develop by steven bird and edward loper in the department of computer and information science at the university of pennsylvania . nltk include graphical demonstration and sample datum . It be accompany by a book that explain the underlie concept behind the language processing task support by the toolkit , plus a cookbook . ",92,Data analysis software,0
55,Natural Language Toolkit," nltk be intend to support research and teaching in nlp or closely related area , include empirical linguistic , cognitive science , artificial intelligence , information retrieval , and machine learning . 
 nltk have be use successfully as a teaching tool , as an individual study tool , and as a platform for prototyp and building research system . there be 32 university in the us and 25 country use nltk in their course . nltk support classification , tokenization , stem , tag , parse , and semantic reasoning functionality . ",93,Data analysis software,1
56,Teuvo Kohonen," teuvo kalevi kohonen ( bear july 11 , 1934 ) be a prominent finnish academic ( dr. eng . ) and researcher . He be currently professor emeritus of the academy of finland . ",34,Machine learning researchers,0
56,Teuvo Kohonen," prof . kohonen have make many contribution to the field of artificial neural network , include the learning vector quantization algorithm , fundamental theory of distribute associative memory and optimal associative mapping , the learn subspace method and novel algorithm for symbol processing like redundant hash addressing . He have publish several book and over 300 peer - review paper . 
 His most famous contribution be the self - organizing map ( also know as the kohonen map or   kohonen artificial neural network , although kohonen himself prefer som ) . due to the popularity of the som algorithm in many research and in practical application , kohonen be often consider to be the most cite finnish scientist . the current version of the som bibliography contain close to 8000 entry . ",134,Machine learning researchers,1
56,Teuvo Kohonen," most of his career , prof . kohonen conduct research at helsinki university of technology ( tkk ) . the neural networks research centre of tkk , a center of excellence appoint by academy of finland be found to conduct research relate to teuvo kohonen 's innovation . after kohonen 's retirement , the center have be lead by prof . erkki oja and later rename to adaptive informatics research centre with widen foci of research . ",77,Machine learning researchers,2
56,Teuvo Kohonen," teuvo kohonen be elect the first vice president of the international association for pattern recognition from 1982 to 1984 , and act as the first president of the european neural network society from 1991 to 1992 . ",37,Machine learning researchers,3
56,Teuvo Kohonen," for his scientific achievement , prof . kohonen have receive a number of prize include the follow : ",18,Machine learning researchers,4
56,Teuvo Kohonen,"   ieee neural networks council pioneer award , 1991 
  technical achievement award of the ieee signal processing society , 1995 
  ieee frank rosenblatt award , 2008 ",28,Machine learning researchers,5
57,Data stream mining," data stream mining be the process of extract knowledge structure from continuous , rapid data record . a data stream be an order sequence of instance that in many application of data stream mining can be read only once or a small number of time use limited computing and storage capability . 
 in many data stream mining application , the goal be to predict the class or value of new instance in the data stream give some knowledge about the class membership or value of previous instance in the data stream . 
 machine learning technique can be use to learn this prediction task from label example in an automate fashion . 
 often , concept from the field of incremental learning be apply to cope with structural change , on - line learn and real - time demand . 
 in many application , especially operate within non - stationary environment , the distribution underlie the instance or the rule underlie their labeling may change over time , i.e. the goal of the prediction , the class to be predict or the target value to be predict , may change over time . this problem be refer to as concept drift . ",204,Data mining,0
57,Data stream mining," example of datum stream include computer network traffic , phone conversation , atm transaction , web search , and sensor datum . 
 data stream mining can be consider a subfield of datum mining , machine learning , and knowledge discovery . ",42,Data mining,1
58,K-nearest neighbors algorithm," in pattern recognition , the k - near neighbor algorithm ( k - nn ) be a non - parametric method use for classification and regression . in both case , the input consist of the k close training example in the feature space . the output depend on whether k - nn be use for classification or regression : ",60,Machine learning algorithms,0
58,K-nearest neighbors algorithm,"   in k - nn classification , the output be a class membership . an object be classify by a plurality vote of its neighbor , with the object be assign to the class most common among its k near neighbor ( k be a positive integer , typically small ) . if k    =    1 , then the object be simply assign to the class of that single near neighbor . ",74,Machine learning algorithms,1
58,K-nearest neighbors algorithm,"   in k - nn regression , the output be the property value for the object . this value be the average of the value of k near neighbor . ",30,Machine learning algorithms,2
58,K-nearest neighbors algorithm," k - nn be a type of instance - base learning , or lazy learning , where the function be only approximate locally and all computation be defer until classification . the k - nn algorithm be among the simple of all machine learn algorithm . ",46,Machine learning algorithms,3
58,K-nearest neighbors algorithm," both for classification and regression , a useful technique can be use to assign weight to the contribution of the neighbor , so that the near neighbor contribute more to the average than the more distant one . for example , a common weighting scheme consist in give each neighbor a weight of 1/d , where d be the distance to the neighbor . this scheme be a generalization of linear interpolation . ",73,Machine learning algorithms,4
58,K-nearest neighbors algorithm," the neighbor be take from a set of object for which the class ( for k - nn classification ) or the object property value ( for k - nn regression ) be know . this can be think of as the training set for the algorithm , though no explicit training step be require . ",56,Machine learning algorithms,5
58,K-nearest neighbors algorithm, a peculiarity of the k - nn algorithm be that it be sensitive to the local structure of the datum . ,21,Machine learning algorithms,6
59,Linde–Buzo–Gray algorithm," the linde – buzo – gray algorithm ( introduce by yoseph linde , andrés buzo and robert m. gray in 1980 ) be a vector quantization algorithm to derive a good codebook . ",33,Machine learning algorithms,0
59,Linde–Buzo–Gray algorithm, It be similar to the k - means method in datum cluster . ,13,Machine learning algorithms,1
60,JMP (statistical software)," jmp ( pronounce "" jump "" ) be a suite of computer program for statistical analysis develop by the jmp business unit of sas institute . It be launch in 1989 to take advantage of the graphical user interface introduce by the macintosh . It have since be significantly rewrite and make available for the windows operate system . jmp be use in application such as six sigma , quality control , and engineering , design of experiment , as well as for research in science , engineering , and social science . ",93,Data analysis software,0
60,JMP (statistical software)," the software can be purchase in any of five configuration : jmp , jmp pro , jmp clinical , jmp genomics and the jmp graph builder app for the ipad . jmp can be automate with its proprietary scripting language , jsl . the software be focus on exploratory visual analytic , where user investigate and explore datum . these exploration can also be verify by hypothesis testing , datum mining , or other analytic method . in addition , discovery make through graphical exploration can lead to a design experiment that can be both design and analyze with jmp . ",101,Data analysis software,1
61,Kernel density estimation," in statistic , kernel density estimation ( kde ) be a non - parametric way to estimate the probability density function of a random variable .   kernel density estimation be a fundamental datum smoothing problem where inference about the population be make , base on a finite data sample . in some field such as signal processing and econometric it be also term the parzen – rosenblatt window method ,   after emanuel parzen and murray rosenblatt , who be usually credit with independently create it in its current form . ",92,Machine learning,0
62,Predictive learning," predictive learning be a technique of machine learn in which an agent try to build a model of its environment by try out different action in various circumstance . It use knowledge of the effect its action appear to have , turn them into planning operator . these allow the agent to act purposefully in its world . predictive learning be one attempt to learn with a minimum of pre - exist mental structure . It may have be inspire by piaget 's account of how child construct knowledge of the world by interact with it . gary drescher 's book ' make - up minds ' be seminal for the area . ",113,Machine learning,0
62,Predictive learning," another more recent predictive learning theory be jeff hawkins ' memory - prediction framework , which be lay out in his on intelligence . ",24,Machine learning,1
63,FERET database," the facial recognition technology ( feret ) database be a dataset use for facial recognition system evaluation as part of the face recognition technology ( feret ) program . It be first establish in 1993 under a collaborative effort between dr. harry wechsler at george mason university and dr. jonathan phillips at the army research laboratory in adelphi , maryland . the feret database serve as a standard database of facial image for researcher to use to develop various algorithm and report result . the use of a common database also allow one to compare the effectiveness of different approach in methodology and gauge their strength and weakness . 
 the facial image for the database be collect between december 1993 and august 1996 , accumulate a total of 14,126 image pertain to 1199 individual along with 365 duplicate set of image that be take on a different day . in 2003 , the defense advanced research projects agency ( darpa ) release a high - resolution , 24-bit color version of these image . the dataset test include 2,413 still facial image , represent 856 individual . the feret database have be use by more than 460 research group and be manage by the national institute of standards and technology ( nist).p. j. phillips , h. moon , s. a. rizvi , and p. j. rauss ( january 7 , 1999 ) . "" the feret evaluation methodology for face - recognition algorithms "" . nistir 6264 and ieee trans . patern analysis and machine intelligence , 22(10 ) , October 2000 . ",264,Machine learning task,0
64,Pivot table," a pivot table be a table of statistic that summarize   the datum of a more extensive table ( such as from a database , spreadsheet , or business intelligence program ) . this summary may include sum , average , or other statistic , which the pivot table group together in a meaningful way . ",56,Data analysis,0
64,Pivot table," pivot table be a technique in datum processing . They enable a person to arrange and rearrange ( or "" pivot "" ) statistic in order to draw attention to useful information . ",33,Data analysis,1
64,Pivot table," although pivot table be a generic term , microsoft corporation trademark pivottable in the united states in 1994 . ",19,Data analysis,2
65,Orange (software)," orange be an open - source datum visualization , machine learning and datum mining toolkit . It feature a visual programming front - end for explorative datum analysis and interactive datum visualization , and can also be use as a python library . ",43,Data mining and machine learning software,0
66,Microsoft Analysis Services," microsoft sql server analysis services , ssas , tableau frequently refer to ssas cubes as msas cubes be an online analytical processing ( olap ) and datum mining tool in microsoft sql server . ssas be use as a tool by organization to analyze and make sense of information possibly spread out across multiple database , or in disparate table or file . microsoft have include a number of service in sql server relate to business intelligence and datum warehousing . these service include integration services , reporting services and analysis services . analysis services include a group of olap and datum mining capability and come in two flavor - multidimensional and tabular . ",114,Data analysis software,0
67,Data analysis," datum analysis be a process of inspect , cleanse , transform , and modeling datum with the goal of discover useful information , inform conclusion , and support decision - making . datum analysis have multiple facet and approach , encompass diverse technique under a variety of name , and be use in different business , science , and social science domain . in today 's business world , datum analysis play a role in make decision more scientific and help business operate more effectively . xia , b. s. , & gong , p. ( 2015 ) . review of business intelligence through datum analysis . benchmarking , 21(2 ) , 300 - 311 . doi:10.1108/bij-08 - 2012 - 0050 ",121,Data analysis,0
67,Data analysis," datum mining be a particular data analysis technique that focus on modeling and knowledge discovery for predictive rather than purely descriptive purpose , while business intelligence cover datum analysis that rely heavily on aggregation , focus mainly on business information . exploring data analysis in statistical application , datum analysis can be divide into descriptive statistic , exploratory datum analysis ( eda ) , and confirmatory datum analysis ( cda ) . eda focus on discover new feature in the datum while cda focus on confirm or falsify exist hypothesis . predictive analytic focus on application of statistical model for predictive forecasting or classification , while text analytic apply statistical , linguistic , and structural technique to extract and classify information from textual source , a species of unstructured datum . all of the above be variety of datum analysis . ",141,Data analysis,1
67,Data analysis," data integration be a precursor to datum analysis , and datum analysis be closely link to datum visualization and datum dissemination . the term datum analysis be sometimes use as a synonym for datum modeling . ",36,Data analysis,2
68,Biomedical text mining," biomedical text mining ( include biomedical natural language processing or bionlp ) refer to the method and study of how text mining may be apply to text and literature of the biomedical and molecular biology domain . as a field of research , biomedical text mining incorporate idea from natural language processing , bioinformatic , medical informatic and computational linguistic . the strategy develop through study in this field be frequently apply to the biomedical and molecular biology literature available through service such as pubmed . ",86,Data mining,0
69,Concept drift," in predictive analytic and machine learning , the concept drift mean that the statistical property of the target variable , which the model be try to predict , change over time in unforeseen way . this cause problem because the prediction become less accurate as time pass . 
 the term concept refer to the quantity to be predict . more generally , it can also refer to other phenomenon of interest besides the target concept , such as an input , but , in the context of concept drift , the term commonly refer to the target variable . ",100,Data mining,0
70,Subclass reachability," in computational learning theory in mathematic , give a class of concept c , a subclass d be reachable if there exist a partial approximation s of some concept such that d contain exactly those concept in c that be extension to s ( i.e. , d = c|s ) . ",51,Machine learning,0
71,Demis Hassabis," demis hassabis   ( bear 27 july 1976 ) be a british artificial intelligence researcher , neuroscientist , video game designer , entrepreneur , and world - class game player . ",31,Machine learning researchers,0
72,Multifactor dimensionality reduction," multifactor dimensionality reduction ( mdr ) be a statistical approach , also use in machine learn automatic approach , for detect and characterize combination of attribute or independent variable that interact to influence a dependent or class variable . mdr be design specifically to identify nonadditive interaction among discrete variable that influence a binary outcome and be consider a nonparametric and model - free alternative to traditional statistical method such as logistic regression . 
 the basis of the mdr method be a constructive induction or feature engineering algorithm that convert two or more variable or attribute to a single attribute .   this process of construct a new attribute change the representation space of the datum .   the end goal be to create or discover a representation that facilitate the detection of nonlinear or nonadditive interaction among the attribute such that prediction of the class variable be improve over that of the original representation of the datum . ",160,Data mining,0
73,Learning automaton, a learning automaton be one type of machine learn algorithm study since 1970 . learn automaton select their current action base on past experience from the environment . It will fall into the range of reinforcement learning if the environment be stochastic and a markov decision process ( mdp ) be use . ,53,Machine learning,0
74,Robot learning," robot learn be a research field at the intersection of machine learning and robotic . It study technique allow a robot to acquire novel skill or adapt to its environment through learn algorithm . the embodiment of the robot , situate in a physical embedding , provide at the same time specific difficulty ( e.g. high - dimensionality , real time constraint for collect datum and learning ) and opportunity for guide the learning process ( e.g. sensorimotor synergy , motor primitive ) . 
 example of skill that be target by learn algorithm include sensorimotor skill such as locomotion , grasp , active object categorization ,   as well as interactive skill such as joint manipulation of an object with a human peer , and linguistic skill such as the ground and situate meaning of human language . learning can happen either through autonomous self - exploration or through guidance from a human teacher , like for example in robot learn by imitation . ",165,Machine learning,0
74,Robot learning," robot learning can be closely relate to adaptive control , reinforcement learning as well as developmental robotic which consider the problem of autonomous lifelong acquisition of repertoire of skill . 
 while machine learning be frequently use by computer vision algorithm employ in the context of robotic , these application be usually not refer to as "" robot learning "" . ",61,Machine learning,1
75,Vasant Honavar," vasant g. honavar be an indian bear american computer scientist , and artificial intelligence , machine learning , big datum , data science , causality , knowledge representation , bioinformatic and health informatic researcher and educator . ",37,Machine learning researchers,0
76,Sebastian Thrun," sebastian thrun ( bear may 14 , 1967 ) be an innovator , entrepreneur educator ,   and computer scientist from germany . He be ceo of the kitty hawk corporation , chairman and co - founder of udacity . before that , he be a google vp and fellow , a professor of computer science at stanford university , and before that at carnegie mellon university . at google , he found google x and google 's self - drive car team . He be currently also an adjunct professor at stanford university and at georgia tech . ",99,Machine learning researchers,0
76,Sebastian Thrun," thrun lead development of the robotic vehicle stanleythrun , s. et al . ,   which win the 2005 darpa grand challenge , and which have since be place on exhibit in the smithsonian institution 's national museum of american history . His team also develop a vehicle call junior , montemerlo , m. et al . ,   which place second at the darpa grand challenge in 2007 . thrun lead the development of the google self - drive car . ",82,Machine learning researchers,1
76,Sebastian Thrun," thrun be also know for his work on probabilistic algorithm for robotic with application include robotic mapping . robotic mapping : a survey by sebastian thrun in   in recognition of his contribution , and at the age of 39 , he be elect into the national academy of engineering and also into the academy of sciences leopoldina in 2007 . the guardian recognize him as one of 20 "" fighter for internet freedom "" . ",76,Machine learning researchers,2
77,Weka (machine learning)," waikato environment for knowledge analysis ( weka ) be a suite of machine learn software write in java , develop at the university of waikato , new zealand . It be free software license under the gnu general public license . ",41,Data mining and machine learning software,0
78,Fityk," fityk be a curve fitting and datum analysis application , predominantly use to fit analytical , 
 bell - shape function to experimental datum . It be position to fill the gap between general plot software and program specific for one field , e.g. crystallography or xps . ",48,Data analysis software,0
78,Fityk," originally , fityk be develop to analyse powder diffraction datum . It be also use in other field that require peak analysis and peak - fitting , like chromatography or various kind of spectroscopy . ",35,Data analysis software,1
78,Fityk," fityk be distribute under the term of gnu general public license , but since version 1.0.0 , subscription be require for download binary . It run on linux , macos , microsoft windows , freebsd and other platform . It operate either as a command line program or with a graphical user interface . ",54,Data analysis software,2
78,Fityk," It be write in c++ , use wxwidget , and provide binding for python and other scripting language . ",19,Data analysis software,3
79,Ross Quinlan," john ross quinlan be a computer science researcher in datum mining and decision theory . He have contribute extensively to the development of decision tree algorithm , include invent the canonical c4.5 and id3 algorithm . He also contribute to early ilp literature with first order inductive learner ( foil ) . He be currently run the company rulequest research which he found in 1997 . ",66,Machine learning researchers,0
80,Marcus Hutter," marcus hutter ( bear april 14 , 1967 ) be a german computer scientist . He be a professor at the anu college of engineering and computer science of the australian national university in canberra , australia . hutter study physics and computer science at the technical university of munich . in 2000 he join jürgen schmidhuber 's group at the istituto dalle molle di studi sull'intelligenza artificiale ( dalle molle institute for artificial intelligence research ) in manno , switzerland . with other , he develop a mathematical theory of artificial general intelligence . His book universal artificial intelligence : sequential decisions base on algorithmic probability be publish by springer in 2005.marcus hutter ( 2005 ) . universal artificial intelligence : sequential decisions base on algorithmic probability . berlin ; heidelberg ; new york : springer . . ",139,Machine learning researchers,0
81,LabWindows/CVI," labwindows / cvi ( cvi be short for c for virtual instrumentation ) be an ansi c programming environment for test and measurement develop by national instruments . the program be originally release as labwindows for dos in 1987 , but be soon revision ( and rename ) for the microsoft windows platform . the current version of labwindows / cvi ( commonly refer to as cvi ) be 2019 . ",71,Data analysis software,0
81,LabWindows/CVI, labwindows / cvi use the same library and data - acquisition module as the better know national instrument product labview and be thus highly compatible with it . ,28,Data analysis software,1
81,LabWindows/CVI," labview be target more at domain expert and scientist , and cvi more towards software engineer that be more comfortable with text - base linear language such as c. ",29,Data analysis software,2
82,Euler (software)," euler ( now euler mathematical toolbox or eumatht ) be a free and open - source numerical software package . It contain a matrix language , a graphical notebook style interface , and a plot window .   euler be design for high level math such as calculus , optimization , and statistic . ",54,Data analysis software,0
82,Euler (software)," the software can handle real , complex and interval number , vector and matrix , it can produce 2d/3d plot , and use maxima for symbolic operation . 
 the software be compilable with windows . the unix and linux version do not contain a computer algebra subsystem . ",49,Data analysis software,1
